ProteinGroup	KEGGNumber	SecondOrganisms	ThirdOrganisms	GenusNCBI	KEGGGene	KEGGScore
NLF007_GL0039190	K01892	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_16140	275.018
NLM006_GL0071422		Bacteria	Bacteroidota	Bacteroides	bis:DXK01_008685	269.626
NLM009_GL0019946		Bacteria	Bacteroidota	Coprobacter	copr:Cop2CBH44_29940	1251.11
NLM022_GL0077515		Bacteria	Clostridia	Faecalibacterium	fpr:FP2_27530	206.068
NLM027_GL0076654	K01868	Bacteria	Clostridia	Blautia	rob:CK5_21060	870.922
NLM031_GL0025221	K01006	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_11200	397.127
NLM031_GL0047477	K00850	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_07600	626.706
NOF010_GL0020186	K01689	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_3395	785.023
NOF013_GL0054476	K01784	Bacteria	Bacteroidota	Bacteroides	bth:BT_0623	641.728
NOM025_GL0058808	K02406	Bacteria	Clostridia	(no genus)	bpen:NQ488_12740	445.662
NOM026_GL0021166	K00005	Bacteria	Other Bacillota	Thomasclavelia	ciu:G4D55_17005	585.104
O2.CD1-0-PT_GL0025396	K00848	Bacteria	Clostridia	Blautia	rob:CK5_18710	948.732
O2.CD1-0-PT_GL0117146		Bacteria	Clostridia	Blautia	rob:CK5_36550	495.738
O2.CD2-0_GL0019958	K01803	Bacteria	Other Bacillota	Catenibacterium	cmit:NQ499_02865	492.656
O2.CD2-0_GL0067511	K04079	Bacteria	Bacteroidota	Segatella	pcoi:LK433_09925	1143.26
O2.CD3-0-PT_GL0002951	K01835	Bacteria	Clostridia	Lachnospira	eel:EUBELI_01623	799.275
O2.CD3-0-PT_GL0064000	K03043	Bacteria	Clostridia	Blautia	rob:CK5_14710	986.867
O2.CD3-0-PT_GL0107880	K02906	Bacteria	Clostridia	Lachnospira	eel:EUBELI_00299	405.216
O2.CD3-0-PT_GL0115878	K03553	Bacteria	Clostridia	Blautia	rob:CK5_06950	601.282
O2.CD3-0-PT_GL0160447		Bacteria	Clostridia	Pusillibacter	pfaa:MM59RIKEN_32580	557.755
O2.UC1-2_GL0091686		Bacteria	Bacteroidota	Porphyromonas	pah:Poras_1710	1035.4
O2.UC11-2_GL0001946	K03737	Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_18150	380.178
O2.UC11-2_GL0032512	K00088	Bacteria	Actinomycetota	Eggerthella	ele:Elen_0407	881.708
O2.UC11-2_GL0090880	K00656	Bacteria	Clostridia	Sellimonas	sint:K5I26_02950	600.512
O2.UC12-1_GL0156190	K00850	Bacteria	Clostridia	Agathobacter	ere:EUBREC_1058	407.527
O2.UC12-2_GL0031978	K00266	Bacteria	Clostridia	Agathobacter	ere:EUBREC_1829	310.457
O2.UC15-0_GL0002094	K01653	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_24080	310.842
O2.UC15-0_GL0067565	K13922	Bacteria	Clostridia	Mediterraneibacter	rgn:RGna_15045	904.049
O2.UC15-1_GL0007728	K22373	Bacteria	Clostridia	Coprococcus	cct:CC1_13270	917.146
O2.UC15-2_GL0047446	K03737	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_20590	733.406
O2.UC16-1_GL0056008	K02406	Bacteria	Bacilli	Domibacillus	dom:RRU94_10875	310.457
O2.UC17-2_GL0030573	K01687	Bacteria	Clostridia	(no genus)	lbx:lbkm_2681	971.459
O2.UC19-1_GL0013253	K15023	Bacteria	Clostridia	Ruminococcus	rum:CK1_12640	445.277
O2.UC19-1_GL0085858	K01869	Bacteria	Actinomycetota	Bifidobacterium	blo:BL1450	1816.59
O2.UC2-1_GL0049255	K04079	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_10055	1308.51
O2.UC20-1_GL0070924	K02992	Bacteria	Clostridia	(no genus)	lbx:lbkm_3180	276.944
O2.UC26-0_GL0053006		Bacteria	Bacteroidota	Bacteroides	bth:BT_1507	828.55
O2.UC26-1_GL0012827	K03737	Bacteria	Clostridia	Anaerostipes	bprl:CL2_05360	325.479
O2.UC27-2_GL0058698	K00942	Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_23100	348.977
O2.UC3-2_GL0062989	K18682	Bacteria	Clostridia	Dorea	dlo:K5I24_00820	521.931
O2.UC30-1_GL0166449	K02406	Bacteria	Clostridia	Pseudobutyrivibrio	pxv:FXF36_03535	471.855
O2.UC31-0_GL0061897	K02355	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_14040	296.204
O2.UC31-2_GL0087171	K00925	Bacteria	Clostridia	Lachnospira	eel:EUBELI_01064	456.832
O2.UC35-0_GL0052172	K01710	Bacteria	Clostridia	(no genus)	bprs:CK3_03380	417.542
O2.UC36-0_GL0164929	K01923	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_16160	556.984
O2.UC37-0_GL0035042	K00688	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_02895	444.506
O2.UC37-2_GL0048550		Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_12345	503.056
O2.UC38-2_GL0065595	K03086	Bacteria	Bacteroidota	Bacteroides	bth:BT_1311	322.398
O2.UC41-1_GL0029795	K01955	Bacteria	Clostridia	Ruminococcus	ral:Rumal_2380	1935.23
O2.UC41-1_GL0179726	K21071	Bacteria	Clostridia	Blautia	rob:CK5_02560	667.537
O2.UC41-1_GL0201535	K00854	Bacteria	Clostridia	Blautia	rob:CK5_32710	937.947
O2.UC43-0_GL0054854		Bacteria	Bacteroidota	Segatella	pcoi:LK433_05410	104.375
O2.UC43-2_GL0054545	K01647	Bacteria	Clostridia	Faecalibacterium	fpa:FPR_26140	312.383
O2.UC46-1_GL0144405	K03628	Bacteria	Clostridia	Wansuia	whj:H9Q79_16440	672.544
O2.UC47-0_GL0067414	K00297	Bacteria	Clostridia	Qiania	qdo:H9Q78_01490	463.766
O2.UC47-2_GL0070787	K04077	Bacteria	Clostridia	Blautia	rob:CK5_03110	463.766
O2.UC47-2_GL0084279	K00656	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_15390	1392.1
O2.UC48-0_GL0016850	K02986	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_08590	356.681
O2.UC48-0_GL0026589		Bacteria	Clostridia	Intestinimonas	ibu:IB211_02575	359.377
O2.UC48-0_GL0067553		Bacteria	Clostridia	Sellimonas	sint:K5I26_10035	627.091
O2.UC48-0_GL0194480	K00602	Bacteria	Clostridia	Blautia	rob:CK5_03150	689.108
O2.UC48-0_GL0229333	K03040	Bacteria	Clostridia	Blautia	byl:A4V09_15450	600.897
O2.UC48-1_GL0138538	K02837	Bacteria	Clostridia	Wansuia	whj:H9Q79_18075	301.982
O2.UC49-0_GL0126417	K00134	Bacteria	Clostridia	Dorea	dlo:K5I24_00865	606.675
O2.UC50-2_GL0137382		Bacteria	Actinomycetota	Bifidobacterium	bang:BBAG_1396	560.451
O2.UC53-0_GL0121379	K00262	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_3809	879.782
O2.UC53-0_GL0250574	K02994	Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_19140	234.958
O2.UC54-0_GL0038963	K02355	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_18780	554.673
O2.UC57-2_GL0024171	K01784	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_19840	683.715
O2.UC59-2_GL0054788	K00826	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_10125	612.068
O2.UC60-0_GL0127173	K01955	Bacteria	Bacteroidota	Segatella	pcoi:LK433_07195	643.269
O2.UC8-0_GL0128475	K01881	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_3320	943.34
O2.UC8-2_GL0036959	K02886	Bacteria	Actinomycetota	Slackia	shi:Shel_23440	523.087
SZEY-103A_GL0074872	K00895	Bacteria	Bacteroidota	Segatella	pcoi:LK433_09800	1089.72
SZEY-26A_GL0072743	K01710	Bacteria	Actinomycetota	Collinsella	caer:CSV91_03715	549.28
SZEY-39A_GL0038601	K01872	Bacteria	Actinomycetota	Collinsella	caer:CSV91_02485	1662.12
SZEY-41A_GL0005116	K02358	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_14045	480.715
SZEY-97A_GL0059457	K04043	Bacteria	Clostridia	Agathobacter	ere:EUBREC_1906	1187.17
T2D-107A_GL0011039	K01893	Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_13760	814.298
T2D-107A_GL0032354	K01006	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_08070	1535.39
T2D-10A_GL0084588		Bacteria	Actinomycetota	Collinsella	caer:CSV91_04735	327.791
T2D-110A_GL0017208	K00175	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0985	627.861
T2D-118A_GL0013346	K03718	Bacteria	Bacteroidota	Bacteroides	bth:BT_2978	148.673
T2D-11A_GL0016640	K10542	Bacteria	Clostridia	Blautia	byl:A4V09_01350	909.827
T2D-11A_GL0017526	K01652	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_2555	600.512
T2D-11A_GL0159105	K02935	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_2265	189.889
T2D-123A_GL0138790	K00927	Bacteria	Bacteroidota	Alistipes	afd:Alfi_1473	616.69
T2D-135A_GL0085761	K00029	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0245	1472.99
T2D-135A_GL0119532	K00688	Bacteria	Bacteroidota	Bacteroides	bth:BT_1293	1442.17
T2D-140A_GL0097992	K00849	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_18550	250.366
T2D-14A_GL0116543		Bacteria	Clostridia	Intestinibacillus	int:RX717_00230	494.967
T2D-155A_GL0006484	K00134	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_04040	640.958
T2D-189A_GL0039459	K01190	Bacteria	Clostridia	Blautia	rob:CK5_36690	445.277
T2D-29A_GL0087222	K00602	Bacteria	Clostridia	Sellimonas	sint:K5I26_06620	515.383
T2D-31A_GL0076719	K00008	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_09070	739.954
T2D-33A_GL0090503	K00975	Bacteria	Clostridia	Roseburia	rho:RHOM_13160	779.63
T2D-33A_GL0119486	K01939	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_09935	785.793
T2D-45A_GL0141028	K04567	Bacteria	Bacteroidota	Prevotella	pmz:HMPREF0659_A6046	1018.84
T2D-45A_GL0146717	K00925	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_14620	246.514
T2D-47A_GL0144718		Bacteria	Clostridia	Lawsonibacter	lasa:L9O85_04175	337.035
T2D-49A_GL0055834	K00688	Bacteria	Clostridia	Agathobacter	ere:EUBREC_1054	1404.42
T2D-51A_GL0053560	K00346	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_1125	758.829
T2D-51A_GL0153538		Bacteria	Clostridia	Agathobacter	ere:EUBREC_0289	351.673
T2D-57A_GL0056046	K14534	Bacteria	Other Bacillota	Megasphaera	med:MELS_0342	102.834
T2D-62A_GL0016915	K04079	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_05530	1169.45
T2D-63A_GL0011150	K03737	Bacteria	Clostridia	Blautia	rob:CK5_30850	303.908
T2D-66A_GL0076810	K02838	Bacteria	Clostridia	Blautia	rob:CK5_30130	293.893
T2D-68A_GL0003999	K02355	Bacteria	Actinomycetota	Atopobium	atb:J4859_02110	1261.9
T2D-68A_GL0058436	K00927	Bacteria	Actinomycetota	Atopobium	atb:J4859_11745	730.324
T2D-87A_GL0024570		Bacteria	Bacteroidota	Segatella	shoi:KUA50_004970	533.872
T2D-8A_GL0076399		Bacteria	Bacteroidota	Segatella	shoi:KUA50_014890	1093.18
V1.CD15-3_GL0046367	K01803	Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_04580	453.366
V1.CD15-3_GL0105671	K00656	Bacteria	Clostridia	Anaerobutyricum	ehl:EHLA_2966	1521.91
V1.CD17-4_GL0074442		Bacteria	Fusobacteriota	Fusobacterium	fva:FV113G1_06610	462.611
V1.CD18-3_GL0001732	K04567	Bacteria	Clostridia	Dorea	dlo:K5I24_11205	1100.5
V1.CD20-4_GL0090266	K21071	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_26310	442.965
V1.CD20-4_GL0113357	K02012	Bacteria	Clostridia	Enterocloster	cbol:CGC65_08075	685.256
V1.CD21-0_GL0043370	K04077	Bacteria	Clostridia	Enterocloster	cbol:CGC65_07225	684.485
V1.CD21-0_GL0063243		Bacteria	Clostridia	Mediterraneibacter	rlr:NQ541_10585	674.085
V1.CD3-0-PN_GL0040984	K06871	Bacteria	Clostridia	Blautia	rob:CK5_09120	577.785
V1.CD3-0-PN_GL0042405	K03043	Bacteria	Clostridia	Wansuia	whj:H9Q79_16000	1121.3
V1.CD3-0-PN_GL0056499	K15533	Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_12370	1357.43
V1.CD3-0-PN_GL0090600	K00939	Bacteria	Clostridia	(no genus)	bpen:NQ488_12520	284.263
V1.CD3-0-PN_GL0107865	K00925	Bacteria	Clostridia	Qiania	qdo:H9Q78_13585	203.371
V1.CD3-0-PN_GL0126652	K01939	Bacteria	Clostridia	Roseburia	rho:RHOM_09290	718.768
V1.CD32-0_GL0067539	K01139	Bacteria	Clostridia	Blautia	rob:CK5_09250	1211.82
V1.CD38-0_GL0060643		Bacteria	Other Bacillota	Catenibacterium	cmit:NQ499_04245	545.428
V1.CD4-0-PN_GL0157440	K01610	Bacteria	Bacteroidota	Coprobacter	copr:Cop2CBH44_23550	1003.43
V1.CD40-0_GL0151177	K06346	Bacteria	Actinomycetota	Bifidobacterium	blo:BL0645	293.893
V1.CD49-0_GL0005458	K00656	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_15390	791.571
V1.CD54-0_GL0041206	K01938	Bacteria	Clostridia	Blautia	rob:CK5_28620	1034.25
V1.CD54-0_GL0126661	K00133	Bacteria	Clostridia	Blautia	rob:CK5_23820	649.432
V1.CD55-0_GL0075271	K01923	Bacteria	Clostridia	Blautia	rob:CK5_23060	338.961
V1.CD55-0_GL0162064	K07576	Bacteria	Clostridia	Herbinix	hsd:SD1D_0276	643.269
V1.CD6-0-PN_GL0010683	K00053	Bacteria	Clostridia	Lachnospira	eel:EUBELI_01373	667.537
V1.CD6-0-PN_GL0116224	K01938	Bacteria	Clostridia	Blautia	rob:CK5_32720	404.06
V1.CD6-0-PT_GL0119813	K03043	Bacteria	Clostridia	Flavonifractor	fpla:A4U99_12970	555.058
V1.CD6-0-PT_GL0189128	K06076	Bacteria	Bacteroidota	Segatella	pcoi:LK433_00660	850.506
V1.CD6-0-PT_GL0198958	K00688	Bacteria	Bacteroidota	Segatella	pcoi:LK433_07845	1694.86
V1.CD6-4_GL0133420	K16370	Bacteria	Actinomycetota	Collinsella	caer:CSV91_02575	623.624
V1.CD7-0-PN_GL0036778	K01868	Bacteria	Actinomycetota	Bifidobacterium	blo:BL0724	1236.09
V1.CD7-4_GL0053469	K10441	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_10520	888.641
V1.CD7-4_GL0094066	K04042	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_26990	397.127
V1.FI01_GL0238534		Bacteria	Bacteroidota	Bacteroides	bfe:K6V30_06270	362.073
V1.FI02_GL0099471	K01361	Bacteria	Clostridia	Vescimonas	vcop:MM50RIKEN_03730	1931.76
V1.FI05_GL0060428	K01952	Bacteria	Actinomycetota	Collinsella	caer:CSV91_00640	1865.51
V1.FI07_GL0051232		Bacteria	Clostridia	Blautia	rob:CK5_18270	166.777
V1.FI07_GL0112517	K00615	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_32120	337.035
V1.FI09_GL0189061		Bacteria	Clostridia	(no genus)	esr:ES1_17530	372.474
V1.FI12_GL0041124	K02992	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0808	304.679
V1.FI14_GL0088842	K01006	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_06300	1506.12
V1.FI17_GL0046395	K00616	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_15220	372.859
V1.FI17_GL0059730	K02118	Bacteria	Clostridia	Lachnoclostridium	cpy:Cphy_3071	434.491
V1.FI17_GL0076740		Bacteria	Actinomycetota	Parolsenella	pcat:Pcatena_04880	491.886
V1.FI24_GL0031614		Bacteria	Thermodesulfobacteriota	Lawsonia	lip:LI0461	402.905
V1.FI25_GL0156514	K01677	Bacteria	Clostridia	Roseburia	rho:RHOM_00065	494.197
V1.FI34_GL0136726	K00656	Bacteria	Actinomycetota	Bifidobacterium	blo:BL0951	909.057
V1.FI35_GL0048884	K03340	Bacteria	Clostridia	Enterocloster	cbol:CGC65_18255	554.288
V1.FI36_GL0113911	K02111	Bacteria	Clostridia	Sellimonas	sint:K5I26_03075	793.497
V1.FI36_GL0156545		Bacteria	Bacteroidota	Segatella	shoi:KUA50_009890	2095.86
V1.UC10-2_GL0070312		Bacteria	Clostridia	Lachnospira	eel:EUBELI_00337	1829.3
V1.UC11-5_GL0013869	K01880	Bacteria	Actinomycetota	Gardnerella	gvg:HMPREF0421_20511	348.206
V1.UC11-5_GL0076153	K00939	Bacteria	Actinomycetota	Gardnerella	gvg:HMPREF0421_21262	311.227
V1.UC13-0_GL0035836	K02886	Bacteria	Clostridia	(no genus)	ruk:A4V00_09965	521.161
V1.UC13-0_GL0055417	K09157	Bacteria	Actinomycetota	Bifidobacterium	blo:BL1209	402.519
V1.UC15-3_GL0116846	K01835	Bacteria	Clostridia	Hungatella	hhj:NQ487_03130	677.167
V1.UC16-0_GL0020775	K01710	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_03670	358.221
V1.UC16-0_GL0067758	K00626	Bacteria	Other Bacillota	Faecalitalea	euc:EC1_11740	255.373
V1.UC17-2_GL0079076	K02358	Bacteria	Other Bacillota	Parvimonas	pmic:NW74_01380	775.393
V1.UC23-1_GL0092596		Bacteria	Clostridia	Blautia	bwx:NQ550_19030	374.4
V1.UC24-0_GL0002146	K00927	Bacteria	Clostridia	Dorea	dlo:K5I24_00870	397.897
V1.UC25-0_GL0055143	K01923	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_16160	600.512
V1.UC26-0_GL0155513	K00134	Bacteria	Clostridia	Acetivibrio	cth:Cthe_0137	383.645
V1.UC26-4_GL0136685	K04043	Bacteria	Clostridia	Pusillibacter	pfaa:MM59RIKEN_12130	1058.13
V1.UC27-0_GL0117561	K01790	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_23170	153.295
V1.UC32-0_GL0204431	K00975	Bacteria	Clostridia	(no genus)	bprs:CK3_09660	574.318
V1.UC34-0_GL0003452	K03521	Bacteria	Bacteroidota	Bacteroides	bth:BT_1804	566.614
V1.UC34-0_GL0035774	K00925	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_17680	125.946
V1.UC35-0_GL0094530	K01652	Bacteria	Clostridia	Dorea	dlo:K5I24_03275	931.784
V1.UC4-0_GL0059678		Bacteria	Bacteroidota	Phocaeicola	bdo:EL88_19825	449.899
V1.UC4-5_GL0030814	K02933	Bacteria	Clostridia	Blautia	rob:CK5_20730	332.798
V1.UC43-0_GL0134438	K08483	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_03695	978.393
V1.UC50-1_GL0034110	K10200	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_10310	671.774
V1.UC52-0_GL0147636	K10192	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_24230	826.624
V1.UC52-1_GL0132897	K02118	Bacteria	Clostridia	Blautia	rob:CK5_01280	884.404
V1.UC52-1_GL0196554	K00925	Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_18970	555.058
V1.UC55-0_GL0159623	K21071	Bacteria	Clostridia	Blautia	rob:CK5_25190	402.905
V1.UC55-0_GL0212922	K04488	Bacteria	Clostridia	Blautia	rob:CK5_07040	263.848
V1.UC58-0_GL0004459	K02863	Bacteria	Bacteroidota	Segatella	pcoi:LK433_00555	366.696
V1.UC60-0_GL0052142	K01952	Bacteria	Clostridia	Blautia	rob:CK5_21050	2334.68
V1.UC8-0_GL0009569	K00262	Bacteria	Actinomycetota	Bifidobacterium	blo:BL0630	315.079
V1.UC9-0_GL0020202		Bacteria	Other Bacillota	Dialister	dho:Dia5BBH33_15240	372.089
HM437CO_revised_scaffold23842_1_gene88996	K03628	Bacteria	Bacteroidota	Bacteroides	bth:BT_1595	922.539
Human_swiss_sp|O15263|DFB4A_HUMAN	K21100	Animals	Mammals	Pan	ptr:450193	132.494
Human_swiss_sp|P00813|ADA_HUMAN	K01488	Animals	Mammals	Nomascus	nle:100596557	733.406
Human_swiss_sp|P02458|CO2A1_HUMAN	K19719	Animals	Reptiles	Dermochelys	dcc:119845619	1880.14
Human_swiss_sp|P0DTE7|AMY1B_HUMAN	K01176	Animals	Mammals	Pan	ptr:469397	1092.41
Human_swiss_sp|P12236|ADT3_HUMAN	K05863	Animals	Mammals	Pan	ptr:107972834	588.571
Human_swiss_sp|P25705|ATPA_HUMAN	K02132	Animals	Mammals	Pan	ptr:455397	1046.96
Human_swiss_sp|P35237|SPB6_HUMAN	K13963	Animals	Mammals	Pan	ptr:100611419	721.465
Human_swiss_sp|P51648|AL3A2_HUMAN	K00128	Animals	Mammals	Pan	ptr:454505	936.791
Human_swiss_sp|P62491|RB11A_HUMAN	K07904	Animals	Mammals	Eumetopias	eju:114206465	430.254
Human_swiss_sp|Q10588|BST1_HUMAN	K18152	Animals	Mammals	Pan	ptr:461126	596.66
Human_swiss_sp|Q7Z406|MYH14_HUMAN	K10352	Animals	Mammals	Pan	ptr:468959	3223.34
Human_swiss_sp|Q9Y277|VDAC3_HUMAN	K15041	Animals	Mammals	Pan	ptr:737891	582.022
MH0005_GL0013865	K02965	Bacteria	Bacteroidota	Xylanibacter	pru:PRU_2111	179.489
MH0006_GL0199332	K02982	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_11955	407.912
MH0046_GL0026004		Bacteria	Bacteroidota	Parabacteroides	pgol:K6V26_20325	1696.4
MH0094_GL0107622	K01835	Bacteria	Bacteroidota	Bacteroides	bth:BT_1548	1157.13
MH0101_GL0063548	K03545	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_22280	696.812
MH0126_GL0122878	K01854	Bacteria	Bacteroidota	Rhizosphaericola	arac:E0W69_011725	226.098
MH0139_GL0081691		Bacteria	Clostridia	Eubacterium	evn:NQ558_06605	378.637
MH0143_GL0064120	K01880	Bacteria	Clostridia	Blautia	rob:CK5_25180	917.531
MH0147_GL0070598	K04077	Bacteria	Clostridia	Anaerotignum	cpro:CPRO_20480	871.307
MH0212_GL0049950	K10112	Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_10320	673.7
MH0217_GL0159351	K02867	Bacteria	Clostridia	Christensenella	cmiu:B1H56_06710	155.606
MH0238_GL0179904	K02965	Bacteria	Clostridia	Intestinibacillus	int:RX717_13530	160.229
MH0274_GL0006991	K18682	Bacteria	Bacteroidota	Hoylesella	peo:AS203_02755	857.825
MH0328_GL0066329		Bacteria	Bacteroidota	Phocaeicola	pcop:I6J50_14395	597.816
MH0335_GL0070054		Bacteria	Clostridia	Blautia	rob:CK5_35060	498.819
MH0370_GL0042170		Bacteria	Clostridia	Enterocloster	cbol:CGC65_06235	441.425
MH0400_GL0080982	K02557	Bacteria	Bacteroidota	Segatella	pcoi:LK433_03645	480.33
MH0413_GL0200687	K01805	Bacteria	Clostridia	Ruminococcus	rch:RUM_11300	737.258
MH0457_GL0265018	K00239	Bacteria	Verrucomicrobiota	Coraliomargarita	caa:Caka_1739	964.14
O2.UC14-1_GL0150373	K02876	Bacteria	Clostridia	(no genus)	bprm:CL3_14410	279.641
T2D-146A_GL0061511		Bacteria	Actinomycetota	Bifidobacterium	bsca:BBSC_1099	487.648
V1.CD15-3_GL0014752	K03769	Bacteria	Clostridia	Dorea	dlo:K5I24_15955	325.865
V1.CD54-0_GL0105338	K00052	Bacteria	Clostridia	Blautia	byl:A4V09_04155	680.248
V1.FI01_GL0059745	K00927	Bacteria	Clostridia	Anaerotruncus	acol:K5I23_06100	402.905
V1.FI18_GL0012374	K07056	Bacteria	Clostridia	Blautia	rob:CK5_11210	511.916
V1.FI33_GL0022502	K00262	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_10355	819.305
V1.UC14-1_GL0081888		Bacteria	Clostridia	Enterocloster	cbol:CGC65_26770	750.74
V1.UC52-1_GL0103564	K07407	Bacteria	Clostridia	Anaerocolumna	anr:Ana3638_13910	971.074
V1.UC55-0_GL0059169	K03695	Bacteria	Clostridia	Blautia	rob:CK5_20150	421.394
160603188-stool1_revised_C1017314_1_gene151369	K21574	Bacteria	Bacteroidota	Bacteroides	bth:BT_3703	1531.15
591001.Acfer_1512	K01876	Bacteria	Other Bacillota	Acidaminococcus	afn:Acfer_1512	1177.93
764184357-stool1_revised_scaffold9152_1_gene56916		Bacteria	Clostridia	Agathobaculum	agat:RWV98_17680	865.529
DLM019_GL0031527	K10112	Bacteria	Clostridia	Ruminococcus	ral:Rumal_0475	493.812
Human_swiss_sp|P39023|RL3_HUMAN	K02925	Animals	Reptiles	Chelonoidis	cabi:116819610	813.527
Human_swiss_sp|Q5JS37|NHLC3_HUMAN		Animals	Mammals	Pan	pps:100987598	718.768
Human_swiss_sp|Q8IVL8|CBPO_HUMAN	K23009	Animals	Mammals	Pan	ptr:736472	753.436
MH0043_GL0013824	K02358	Bacteria	Clostridia	Lachnospira	eel:EUBELI_00288	306.605
MH0055_GL0042560	K01610	Bacteria	Bacteroidota	Coprobacter	copr:Cop2CBH44_23550	276.174
MH0057_GL0023760	K03979	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_1683	642.884
MH0152_GL0013968	K00208	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_1986	546.969
MH0286_GL0042158	K03695	Bacteria	Bacteroidota	Segatella	pcoi:LK433_13645	1538.47
MH0433_GL0099873	K01885	Bacteria	Clostridia	Thermocaproicibacter	tmel:NOG13_08655	725.702
MH0433_GL0149951	K02117	Bacteria	Clostridia	Dysosmobacter	obj:EIO64_17720	924.08
N087A_GL0036390	K01868	Bacteria	Clostridia	Enterocloster	cbol:CGC65_00140	68.1662
N088A_GL0060605	K01915	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_26350	226.098
O2.CD3-0-PT_GL0189461	K07775	Bacteria	Clostridia	Blautia	rob:CK5_23460	416.001
O2.UC27-1_GL0008280	K01854	Bacteria	Clostridia	Agathobacter	ere:EUBREC_2761	235.728
O2.UC58-0_GL0077866	K02904	Bacteria	Actinomycetota	Cutibacterium	pac:PPA1855	78.9517
V1.FI37_GL0019014	K12251	Bacteria	Clostridia	(no genus)	bprs:CK3_17490	582.022
HT14A_GL0106378	K02931	Bacteria	Clostridia	Anaerotignum	cpro:CPRO_05500	321.627
Human_swiss_sp|P08183|MDR1_HUMAN	K05658	Animals	Mammals	Pan	ptr:463516	2424.82
Human_swiss_sp|P0DOX7|IGK_HUMAN		Animals	Mammals	Gorilla	ggo:101151870	357.836
Human_swiss_sp|P61026|RAB10_HUMAN	K07903	Animals	Mammals	Bos	bta:783373	407.142
MH0035_GL0049006	K00609	Bacteria	Clostridia	Qiania	qdo:H9Q78_03250	489.189
MH0100_GL0114735	K01006	Bacteria	Clostridia	Lachnospira	eel:EUBELI_01258	1521.91
MH0143_GL0145296	K03695	Bacteria	Clostridia	Agathobacter	ere:EUBREC_2562	1503.42
MH0222_GL0071646	K01869	Bacteria	Bacteroidota	Zunongwangia	zpr:ZPR_4437	1200.27
MH0239_GL0054907	K02835	Bacteria	Clostridia	Blautia	rob:CK5_16820	585.104
